Country name,Ladder score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,% gdp,% social support,% life expectancy,% freedom,% genorisity,% CORRUPTION,% residual,,,,
Uganda,4.636,0.364,0.718,0.240,0.398,0.267,0.054,2.596,7.853,15.477,5.178,8.584,5.766,1.161,55.980,,,,
Liberia,4.625,0.228,0.580,0.253,0.430,0.221,0.057,2.857,4.928,12.543,5.461,9.301,4.773,1.233,61.761,,,,
Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2.180,13.086,11.027,8.359,10.481,8.143,1.577,47.328,,,,
Tunisia,4.596,0.919,0.515,0.590,0.334,0.057,0.044,2.138,19.994,11.194,12.829,7.258,1.243,0.963,46.521,,,,
Lebanon,4.584,1.045,0.868,0.595,0.175,0.140,0.026,1.736,22.792,18.933,12.970,3.809,3.055,0.573,37.866,,,,
Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059,2.068,19.288,17.510,5.729,8.980,1.985,1.292,45.218,,,,
Palestinian Territories,4.517,0.646,0.819,0.434,0.330,0.082,0.075,2.131,14.304,18.123,9.603,7.308,1.814,1.666,47.181,,,,
Myanmar,4.426,0.666,0.713,0.341,0.601,0.520,0.178,1.407,15.043,16.104,7.703,13.579,11.748,4.032,31.792,,,,
Jordan,4.395,0.890,0.685,0.583,0.455,0.079,0.150,1.553,20.247,15.596,13.274,10.343,1.802,3.406,35.333,,,,
Chad,4.355,0.255,0.353,0.000,0.240,0.215,0.084,3.209,5.845,8.106,0.000,5.500,4.935,1.939,73.674,,,,
Sri Lanka,4.325,0.990,0.820,0.593,0.559,0.239,0.049,1.075,22.902,18.956,13.706,12.933,5.535,1.124,24.844,,,,
Swaziland,4.308,0.849,0.693,0.074,0.323,0.067,0.147,2.155,19.705,16.091,1.722,7.487,1.564,3.421,50.011,,,,
Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101,2.610,11.368,8.566,6.515,4.706,5.624,2.360,60.861,,,,
Egypt,4.283,0.954,0.647,0.426,0.446,0.069,0.092,1.648,22.281,15.107,9.942,10.422,1.615,2.153,38.479,,,,
Ethiopia,4.275,0.370,0.679,0.331,0.451,0.241,0.114,2.089,8.649,15.880,7.752,10.543,5.649,2.668,48.859,,,,
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133,2.069,15.756,17.712,6.469,5.166,2.805,3.144,48.949,,,,
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2.620,6.318,11.945,8.103,4.927,4.387,2.064,62.255,,,,
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2.806,6.186,5.832,4.936,7.041,5.078,2.595,68.333,,,,
Zambia,4.073,0.528,0.552,0.231,0.487,0.227,0.074,1.975,12.952,13.546,5.668,11.954,5.584,1.815,48.482,,,,
Sierra Leone,3.849,0.279,0.377,0.100,0.408,0.243,0.047,2.396,7.248,9.797,2.596,10.603,6.307,1.209,62.242,,,,
India,3.819,0.741,0.316,0.383,0.622,0.246,0.106,1.405,19.394,8.281,10.024,16.294,6.448,2.766,36.794,,,,
Burundi,3.775,0.000,0.062,0.155,0.298,0.172,0.212,2.876,0.000,1.655,4.106,7.884,4.566,5.615,76.173,,,,
Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089,1.776,9.008,22.723,7.442,7.332,2.522,2.424,48.549,,,,
Tanzania,3.623,0.433,0.540,0.300,0.549,0.307,0.231,1.263,11.959,14.891,8.276,15.160,8.486,6.378,34.851,,,,
Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2.060,8.136,4.793,6.292,7.123,12.807,3.851,56.999,,,,
Malawi,3.600,0.113,0.168,0.298,0.484,0.213,0.134,2.190,3.127,4.656,8.285,13.451,5.917,3.725,60.839,,,,
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015,1.800,12.838,20.803,0.199,11.546,2.928,0.435,51.251,,,,
Botswana,3.467,1.099,0.724,0.340,0.539,0.027,0.088,0.648,31.709,20.899,9.804,15.538,0.790,2.552,18.706,,,,
Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493,1.095,10.649,5.921,11.918,18.352,6.661,14.428,32.072,,,,
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075,1.205,14.523,20.623,7.734,11.413,4.995,2.400,38.312,,,,
Afghanistan,2.523,0.370,0.000,0.126,0.000,0.122,0.010,1.895,14.670,0.000,5.012,0.000,4.821,0.379,75.118,,,,
