,Life Ladder,Log GDP per capita
548,4.379,7.651
549,4.1,7.705
550,4.5489999999999995,7.711
551,7.672000000000001,10.745
552,7.671,10.796
553,7.393,10.734000000000002
554,7.354,10.754000000000001
555,7.42,10.735
556,7.445,10.722000000000001
557,7.385,10.714
558,7.4479999999999995,10.716
559,7.66,10.74
560,7.787999999999999,10.767999999999999
561,7.858,10.783
562,7.78,10.792
563,7.888999999999999,10.75
564,7.093,10.642000000000001
565,6.582999999999999,10.659
566,7.007999999999999,10.674000000000001
567,6.2829999999999995,10.639000000000001
568,6.797999999999999,10.654000000000002
569,6.959,10.671
570,6.649,10.669
571,6.667000000000001,10.669
572,6.4670000000000005,10.674000000000001
573,6.358,10.682
574,6.475,10.69
575,6.635,10.710999999999999
576,6.666,10.727
577,6.69,10.74
578,6.7139999999999995,10.642999999999999
579,4.255,9.607999999999999
580,3.972,9.621
581,3.8,9.638
582,3.918,9.644
583,4.6610000000000005,9.649
584,4.832,9.639
585,4.782,9.616
586,4.783,9.599
587,4.914,9.607000000000001
588,4.118,7.6370000000000005
589,4.922,7.671
590,5.164,7.699
591,3.675,8.993
592,3.707,9.117
593,4.156000000000001,9.144
594,3.801,9.116
595,4.102,9.184
596,4.203,9.263
597,4.254,9.332
598,4.349,9.371
599,4.288,9.414
600,4.122,9.442
601,4.448,9.47
602,4.4510000000000005,9.517000000000001
603,4.659,9.565
604,4.8919999999999995,9.617
605,5.122999999999999,9.568999999999999
606,6.62,10.689
607,6.417000000000001,10.759
608,6.522,10.77
609,6.641,10.714
610,6.725,10.755999999999998
611,6.621,10.812999999999999
612,6.702000000000001,10.815999999999999
613,6.965,10.817
614,6.984,10.835
615,7.037000000000001,10.844000000000001
616,6.874,10.857999999999999
617,7.074,10.878
618,7.117999999999999,10.89
619,7.035,10.892999999999999
620,7.312,10.833
621,4.535,8.073
622,5.22,8.09
623,4.965,8.152000000000001
624,4.198,8.174
625,4.606,8.225
626,5.608,8.332
627,5.0569999999999995,8.397
628,4.965,8.445
629,3.86,8.45
630,3.986,8.449
631,4.513999999999999,8.46
632,5.481,8.517000000000001
633,5.004,8.555
634,4.967,8.596
635,5.319,8.59
636,6.006,10.462
637,6.647,10.543
638,6.039,10.491
639,5.84,10.433
640,5.372000000000001,10.339
641,5.096,10.267999999999999
642,4.72,10.243
643,4.756,10.257
644,5.622999999999999,10.259
645,5.303,10.261
646,5.148,10.277999999999999
647,5.409,10.299000000000001
648,5.952000000000001,10.319
649,5.787999999999999,10.215
650,5.901,8.85
651,6.33,8.891
652,6.414,8.904
653,6.452000000000001,8.891
654,6.29,8.901
655,5.742999999999999,8.923
656,5.856,8.935
657,5.985,8.953
658,6.5360000000000005,8.98
659,6.465,9.003
660,6.359,9.013
661,6.325,9.026
662,6.627000000000001,9.042
663,6.2620000000000005,9.064
664,4.045,7.567
665,3.6519999999999997,7.603
666,3.9019999999999997,7.619
667,3.412,7.632000000000001
668,3.505,7.645
669,3.603,7.721
670,4.874,7.792000000000001
671,5.252000000000001,7.8229999999999995
672,4.768,7.849
673,5.992999999999999,8.773
674,3.7539999999999996,7.407
675,3.846,7.417000000000001
676,3.766,7.3839999999999995
677,4.845,7.422999999999999
678,4.413,7.437
679,4.622,7.4639999999999995
680,3.889,7.477
681,3.57,7.476
682,3.352,7.477
683,3.824,7.475
684,3.615,7.477
685,5.397,8.462
686,5.0969999999999995,8.5
687,5.42,8.52
688,6.0329999999999995,8.474
689,5.8660000000000005,8.49
690,4.961,8.508
691,4.602,8.53
692,4.713,8.54
693,5.056,8.552
694,4.845,8.572000000000001
695,5.648,8.593
696,6.02,8.624
697,5.9079999999999995,8.642999999999999
698,5.93,8.652999999999999
699,5.511,10.745999999999999
700,5.1370000000000005,10.815999999999999
701,5.397,10.788
702,5.643,10.847000000000001
703,5.474,10.887
704,5.484,10.892999999999999
705,5.457999999999999,10.94
706,5.497999999999999,10.97
707,5.362,11.0
708,5.659,11.0
710,5.194,10.107999999999999
711,4.954,10.152999999999999
